player,team,type,xT_added,x,y,end_x,end_y
Hugo Lloris,Tottenham Hotspur,Pass,0.001133460000000001,8.9,29.6,20.5,57.1
Toby Alderweireld,Tottenham Hotspur,Pass,0.0012497299999999992,22.0,59.4,43.2,76.2
Kieran Trippier,Tottenham Hotspur,Pass,0.0043726999999999985,53.5,77.1,63.4,57.5
Fábio Henrique Tavares,Liverpool,Pass,0.005679420000000001,58.0,23.2,77.8,31.0
Sadio Mané,Liverpool,Pass,-0.004771079999999997,85.3,50.7,78.2,53.3
Jordan Brian Henderson,Liverpool,Pass,-0.00010719000000000006,81.1,50.3,88.5,65.0
Sadio Mané,Liverpool,Pass,0.01538188,91.8,65.0,104.0,56.8
Mohamed Salah,Liverpool,Pass,0.0,105.1,56.6,104.0,51.4
Heung-Min Son,Tottenham Hotspur,Pass,0.0010497700000000002,16.1,28.7,14.2,33.6
Toby Alderweireld,Tottenham Hotspur,Pass,-0.0010506300000000003,13.6,33.6,37.1,0.8
Trent Alexander-Arnold,Liverpool,Pass,0.025255919999999998,83.4,80.0,112.4,69.7
Danny Rose,Tottenham Hotspur,Pass,0.00137886,7.7,10.4,3.3,27.7
Hugo Lloris,Tottenham Hotspur,Pass,0.007238550000000002,3.7,25.2,63.6,11.1
Trent Alexander-Arnold,Liverpool,Pass,0.0009478199999999994,2.1,66.3,26.9,79.5
Heung-Min Son,Tottenham Hotspur,Pass,-0.00873785,84.6,0.1,56.6,8.1
Jan Vertonghen,Tottenham Hotspur,Pass,-0.00121894,55.2,12.3,47.8,33.1
Toby Alderweireld,Tottenham Hotspur,Pass,6.527999999999916e-05,49.3,36.3,49.1,22.2
Jan Vertonghen,Tottenham Hotspur,Pass,-0.0016648199999999991,50.8,23.7,46.5,38.2
Toby Alderweireld,Tottenham Hotspur,Pass,-0.0004792700000000004,47.8,35.5,40.5,17.4
Jan Vertonghen,Tottenham Hotspur,Pass,0.0005445499999999995,40.0,14.4,49.1,21.6
Moussa Sissoko,Tottenham Hotspur,Pass,0.0031145600000000023,61.3,21.8,71.1,31.0
Christian Dannemann Eriksen,Tottenham Hotspur,Pass,0.026506509999999997,71.3,31.9,110.2,14.0
Trent Alexander-Arnold,Liverpool,Pass,0.00137886,9.9,66.1,2.1,52.0
Alisson Ramsés Becker,Liverpool,Pass,0.0023831900000000003,2.1,52.0,41.2,79.3
Heung-Min Son,Tottenham Hotspur,Pass,0.0009889000000000009,96.6,0.1,90.3,20.9
Moussa Sissoko,Tottenham Hotspur,Pass,-0.004151699999999998,88.8,25.4,78.5,40.7
Harry Winks,Tottenham Hotspur,Pass,0.007592419999999999,75.3,47.4,91.5,72.0
Kieran Trippier,Tottenham Hotspur,Pass,-0.00885965,90.7,75.0,76.4,66.6
Harry Winks,Tottenham Hotspur,Pass,-0.00441219,76.8,63.8,57.1,56.9
Toby Alderweireld,Tottenham Hotspur,Pass,0.017994580000000003,62.3,54.4,102.9,1.6
Trent Alexander-Arnold,Liverpool,Pass,0.002814230000000001,23.1,80.0,42.2,70.1
Andrew Robertson,Liverpool,Pass,0.012691449999999998,33.8,40.0,84.1,68.4
Jan Vertonghen,Tottenham Hotspur,Pass,0.0015522899999999996,36.0,11.7,42.6,10.0
Danny Rose,Tottenham Hotspur,Pass,0.0027146800000000006,61.3,2.5,77.4,2.2
Heung-Min Son,Tottenham Hotspur,Pass,0.00125283,76.2,2.2,74.9,11.5
Bamidele Alli,Tottenham Hotspur,Pass,-0.0039675100000000005,74.9,10.7,68.4,4.1
Danny Rose,Tottenham Hotspur,Pass,-0.0008905599999999986,68.2,4.3,50.1,14.0
Jan Vertonghen,Tottenham Hotspur,Pass,0.0004792700000000004,48.9,14.9,47.0,30.0
Toby Alderweireld,Tottenham Hotspur,Pass,-0.0016648199999999991,50.3,51.4,41.7,31.9
Jan Vertonghen,Tottenham Hotspur,Pass,0.002219519999999999,42.6,30.6,51.6,30.8
Harry Winks,Tottenham Hotspur,Pass,0.003605239999999999,57.5,10.2,77.4,1.8
Heung-Min Son,Tottenham Hotspur,Pass,0.01538188,97.4,18.2,100.3,21.8
Christian Dannemann Eriksen,Tottenham Hotspur,Pass,0.0,97.4,26.8,99.5,23.3
Alisson Ramsés Becker,Liverpool,Pass,-0.0019098400000000003,7.0,36.1,8.2,15.0
Virgil van Dijk,Liverpool,Pass,0.0019098400000000003,7.8,14.2,2.7,32.7
Alisson Ramsés Becker,Liverpool,Pass,0.0007549299999999991,8.2,36.0,24.8,45.3
Fábio Henrique Tavares,Liverpool,Pass,-0.0004965400000000002,35.5,40.9,10.1,39.0
Alisson Ramsés Becker,Liverpool,Pass,0.0,13.4,42.8,18.9,30.4
Virgil van Dijk,Liverpool,Pass,0.05926435000000001,24.2,30.1,111.2,25.9
Trent Alexander-Arnold,Liverpool,Pass,0.2195259,120.0,0.1,116.0,41.9
Andrew Robertson,Liverpool,Pass,-0.0017992400000000006,41.4,32.5,13.2,36.5
Alisson Ramsés Becker,Liverpool,Pass,-0.0014034000000000008,15.1,44.0,26.7,60.8
Joël Andre Job Matip,Liverpool,Pass,0.01696822,31.9,68.6,92.7,78.7
Danny Rose,Tottenham Hotspur,Pass,0.0034731899999999993,40.7,0.1,69.2,3.9
Bamidele Alli,Tottenham Hotspur,Pass,0.00551751,80.4,12.8,98.7,17.0
Andrew Robertson,Liverpool,Pass,0.0114447,31.1,76.2,83.6,79.3
Danny Rose,Tottenham Hotspur,Pass,-0.00185221,49.7,0.1,8.7,30.2
Hugo Lloris,Tottenham Hotspur,Pass,0.0014166600000000001,8.7,32.1,14.6,44.9
Toby Alderweireld,Tottenham Hotspur,Pass,0.0011582700000000012,23.2,48.5,30.6,32.9
Harry Winks,Tottenham Hotspur,Pass,-0.0007288599999999996,36.9,31.2,36.0,16.5
Jan Vertonghen,Tottenham Hotspur,Pass,0.0006678699999999992,36.7,10.4,46.8,4.3
Danny Rose,Tottenham Hotspur,Pass,-0.0006678699999999992,48.2,3.7,38.6,10.2
Jan Vertonghen,Tottenham Hotspur,Pass,-0.00058186,35.6,12.8,28.9,27.9
Toby Alderweireld,Tottenham Hotspur,Pass,-0.0006024800000000007,23.4,28.1,4.9,36.9
Hugo Lloris,Tottenham Hotspur,Pass,0.004434840000000001,3.3,32.7,55.8,12.3
Trent Alexander-Arnold,Liverpool,Pass,0.005103159999999999,64.3,67.8,84.7,70.7
Danny Rose,Tottenham Hotspur,Pass,0.007079549999999999,35.4,9.4,62.9,26.4
Virgil van Dijk,Liverpool,Pass,0.00441219,57.2,53.7,71.0,69.4
Danny Rose,Tottenham Hotspur,Pass,0.002588769999999999,49.1,10.7,62.7,3.3
Heung-Min Son,Tottenham Hotspur,Pass,-0.00033624999999999974,56.4,4.8,43.2,15.9
Jan Vertonghen,Tottenham Hotspur,Pass,0.0004792700000000004,42.3,16.1,40.0,34.4
Toby Alderweireld,Tottenham Hotspur,Pass,0.0013679799999999995,39.2,40.5,42.6,22.6
Jan Vertonghen,Tottenham Hotspur,Pass,0.02523416,47.2,20.9,117.4,71.2
Kieran Trippier,Tottenham Hotspur,Pass,0.00274402,117.0,73.5,106.2,68.4
Christian Dannemann Eriksen,Tottenham Hotspur,Pass,-0.01665471,103.9,67.6,85.0,66.6
Moussa Sissoko,Tottenham Hotspur,Pass,0.0035479100000000013,85.2,68.7,96.4,75.4
Christian Dannemann Eriksen,Tottenham Hotspur,Pass,0.02089939,88.6,68.2,105.2,29.4
Danny Rose,Tottenham Hotspur,Pass,-0.0037706500000000004,87.5,0.1,79.3,6.7
Harry Winks,Tottenham Hotspur,Pass,-0.00260466,77.4,4.8,55.4,37.6
Toby Alderweireld,Tottenham Hotspur,Pass,0.010667840000000001,61.7,44.3,95.1,79.4
Andrew Robertson,Liverpool,Pass,0.0090021,25.4,0.1,70.6,7.0
Virgil van Dijk,Liverpool,Pass,-0.0015645000000000017,29.4,29.1,26.1,3.2
Andrew Robertson,Liverpool,Pass,0.005396860000000002,26.1,3.2,50.0,15.6
Harry Winks,Tottenham Hotspur,Pass,-0.0025648599999999987,61.0,57.1,56.6,25.8
Danny Rose,Tottenham Hotspur,Pass,0.0004458799999999992,57.1,16.1,54.5,26.6
Harry Winks,Tottenham Hotspur,Pass,-0.0034640599999999997,55.4,26.6,13.8,30.4
Hugo Lloris,Tottenham Hotspur,Pass,-0.0008141799999999994,14.4,33.1,27.2,23.1
Jan Vertonghen,Tottenham Hotspur,Pass,0.00015244999999999842,22.4,23.7,23.9,46.0
Toby Alderweireld,Tottenham Hotspur,Pass,-0.00015244999999999842,22.8,46.2,29.1,23.5
Jan Vertonghen,Tottenham Hotspur,Pass,0.0004792700000000004,40.7,17.2,42.8,36.3
Harry Winks,Tottenham Hotspur,Pass,6.527999999999916e-05,46.1,38.6,48.9,52.7
Moussa Sissoko,Tottenham Hotspur,Pass,0.004203539999999999,48.9,53.7,65.3,42.8
Andrew Robertson,Liverpool,Pass,-6.527999999999916e-05,41.2,29.3,47.7,30.6
Andrew Robertson,Liverpool,Pass,0.00159954,42.7,20.1,56.1,22.2
Kieran Trippier,Tottenham Hotspur,Pass,0.0021440899999999995,49.3,61.9,54.5,53.9
Harry Winks,Tottenham Hotspur,Pass,-0.00159954,55.6,53.5,43.2,58.4
Moussa Sissoko,Tottenham Hotspur,Pass,-0.0013679799999999995,42.3,53.1,36.9,35.9
Jan Vertonghen,Tottenham Hotspur,Pass,0.02523416,42.8,29.8,119.7,8.1
Alisson Ramsés Becker,Liverpool,Pass,-0.0006246700000000008,7.0,44.1,10.7,15.6
Virgil van Dijk,Liverpool,Pass,0.0006246700000000008,14.3,13.1,9.5,36.0
Alisson Ramsés Becker,Liverpool,Pass,-0.000661730000000001,10.7,37.5,25.0,37.1
Fábio Henrique Tavares,Liverpool,Pass,-0.0002355900000000008,24.0,51.4,15.5,59.2
Joël Andre Job Matip,Liverpool,Pass,0.0,16.4,58.9,14.5,23.0
Virgil van Dijk,Liverpool,Pass,0.00148532,14.5,23.0,40.6,5.6
Andrew Robertson,Liverpool,Pass,-0.0012497299999999992,40.6,7.5,23.5,22.6
Virgil van Dijk,Liverpool,Pass,0.0,23.5,28.5,23.5,54.7
Joël Andre Job Matip,Liverpool,Pass,0.00015244999999999842,29.4,51.6,28.4,33.9
Virgil van Dijk,Liverpool,Pass,-0.00015244999999999842,28.4,38.6,28.4,54.7
Joël Andre Job Matip,Liverpool,Pass,0.022966069999999998,41.8,62.5,91.6,44.9
Andrew Robertson,Liverpool,Pass,0.00125283,77.1,0.1,79.4,15.0
Harry Winks,Tottenham Hotspur,Pass,0.0015871199999999992,37.3,57.5,42.6,57.5
Fábio Henrique Tavares,Liverpool,Pass,0.0006193799999999992,73.1,29.3,76.5,33.7
Jordan Brian Henderson,Liverpool,Pass,-0.0006193799999999992,77.1,36.2,79.2,53.7
Hugo Lloris,Tottenham Hotspur,Pass,0.005325399999999999,6.0,36.0,64.2,2.2
Trent Alexander-Arnold,Liverpool,Pass,0.002252519999999999,55.9,77.9,64.9,76.8
Jordan Brian Henderson,Liverpool,Pass,0.0039675100000000005,64.9,76.8,78.0,67.1
Harry Winks,Tottenham Hotspur,Pass,0.006556279999999999,42.1,13.0,70.9,12.8
Joël Andre Job Matip,Liverpool,Pass,0.0016982100000000003,49.2,67.3,53.0,60.6
Harry Kane,Tottenham Hotspur,Pass,0.02621113,70.5,17.0,108.3,25.2
Alisson Ramsés Becker,Liverpool,Pass,0.0,12.4,46.8,16.2,35.4
Virgil van Dijk,Liverpool,Pass,-0.0003888999999999993,21.9,30.6,36.6,5.6
Andrew Robertson,Liverpool,Pass,0.00122067,41.6,4.1,54.6,4.1
Christian Dannemann Eriksen,Tottenham Hotspur,Pass,0.00125283,71.1,74.1,76.2,60.5
Bamidele Alli,Tottenham Hotspur,Pass,0.0,76.2,60.5,70.3,60.7
Christian Dannemann Eriksen,Tottenham Hotspur,Pass,0.0006193799999999992,71.6,50.8,77.7,47.2
Joël Andre Job Matip,Liverpool,Pass,0.00215424,43.5,53.9,51.3,48.4
Fábio Henrique Tavares,Liverpool,Pass,0.0005547,52.5,50.5,50.0,46.8
Jordan Brian Henderson,Liverpool,Pass,-0.0010005799999999992,57.2,43.2,58.4,14.2
Hugo Lloris,Tottenham Hotspur,Pass,-0.0019098400000000003,6.0,36.0,4.3,64.2
Toby Alderweireld,Tottenham Hotspur,Pass,0.0002954400000000001,7.0,65.5,13.8,77.9
Kieran Trippier,Tottenham Hotspur,Pass,0.0010834199999999999,13.8,77.5,7.5,59.2
Toby Alderweireld,Tottenham Hotspur,Pass,-0.0011176900000000002,8.7,64.5,9.6,76.4
Kieran Trippier,Tottenham Hotspur,Pass,0.005764160000000001,9.6,77.3,43.6,61.5
Harry Kane,Tottenham Hotspur,Pass,0.00050972,39.6,63.4,39.8,55.0
Christian Dannemann Eriksen,Tottenham Hotspur,Pass,0.007278960000000001,42.6,50.0,72.6,48.3
Fábio Henrique Tavares,Liverpool,Pass,-0.0016808000000000014,34.9,28.7,26.1,14.6
Trent Alexander-Arnold,Liverpool,Pass,0.0048674600000000005,26.3,15.6,50.6,24.7
Harry Winks,Tottenham Hotspur,Pass,0.0038807899999999985,76.4,43.4,84.8,48.1
Bamidele Alli,Tottenham Hotspur,Pass,-0.004500169999999998,84.2,46.8,75.1,50.0
Moussa Sissoko,Tottenham Hotspur,Pass,0.004151699999999998,78.3,49.3,86.9,57.1
Bamidele Alli,Tottenham Hotspur,Pass,-0.0002709099999999992,89.0,56.7,86.7,40.7
Harry Winks,Tottenham Hotspur,Pass,0.0002709099999999992,85.8,43.4,88.4,50.0
Bamidele Alli,Tottenham Hotspur,Pass,0.010990860000000002,88.8,51.0,93.4,39.0
Christian Dannemann Eriksen,Tottenham Hotspur,Pass,0.053216999999999993,94.0,32.9,105.6,30.8
Jordan Brian Henderson,Liverpool,Pass,-0.0016144000000000002,8.4,45.5,19.5,79.3
Christian Dannemann Eriksen,Tottenham Hotspur,Pass,0.0019695999999999984,98.0,0.1,98.0,11.1
Bamidele Alli,Tottenham Hotspur,Pass,0.005318000000000003,97.6,10.7,104.6,2.0
Christian Dannemann Eriksen,Tottenham Hotspur,Pass,0.22260108,103.9,3.1,117.0,39.0
Alisson Ramsés Becker,Liverpool,Pass,-0.0014034000000000008,11.8,42.8,25.8,19.2
Andrew Robertson,Liverpool,Pass,0.00203156,35.7,16.7,42.7,30.6
Georginio Wijnaldum,Liverpool,Pass,0.0007380099999999973,65.6,17.1,68.9,21.3
Sadio Mané,Liverpool,Pass,0.0018473300000000012,69.3,20.1,70.2,14.4
Georginio Wijnaldum,Liverpool,Pass,-0.00622003,70.0,12.9,59.7,5.6
Andrew Robertson,Liverpool,Pass,-0.0013788199999999994,58.4,5.6,33.0,29.3
Virgil van Dijk,Liverpool,Pass,0.000661730000000001,28.4,31.0,14.1,44.0
Alisson Ramsés Becker,Liverpool,Pass,-0.0008141799999999994,15.5,43.2,22.3,24.3
Virgil van Dijk,Liverpool,Pass,0.003186659999999999,35.3,29.7,54.8,53.7
Jordan Brian Henderson,Liverpool,Pass,0.0013325099999999986,64.1,61.3,76.1,77.9
Mohamed Salah,Liverpool,Pass,-0.0009806999999999975,91.4,66.9,92.5,52.8
Roberto Firmino Barbosa de Oliveira,Liverpool,Pass,0.0,93.1,52.4,92.3,56.8
Trent Alexander-Arnold,Liverpool,Pass,0.2195259,120.0,0.1,116.1,42.9
Trent Alexander-Arnold,Liverpool,Pass,0.018914089999999998,91.8,80.0,115.8,67.1
Kieran Trippier,Tottenham Hotspur,Pass,0.0006523799999999993,15.9,80.0,20.9,73.3
Roberto Firmino Barbosa de Oliveira,Liverpool,Pass,0.043415659999999995,104.7,21.1,107.2,31.2
Sadio Mané,Liverpool,Pass,-0.0037706500000000004,85.7,9.3,77.8,7.7
Andrew Robertson,Liverpool,Pass,0.012082079999999999,78.6,7.2,91.6,15.9
Roberto Firmino Barbosa de Oliveira,Liverpool,Pass,-0.00551751,91.6,15.9,87.0,10.2
Sadio Mané,Liverpool,Pass,0.012117899999999997,98.6,20.5,107.0,10.6
Georginio Wijnaldum,Liverpool,Pass,-0.005819199999999997,109.1,11.4,103.2,3.7
Andrew Robertson,Liverpool,Pass,0.22260108,101.7,4.1,113.3,41.3
Trent Alexander-Arnold,Liverpool,Pass,0.00855131,112.8,80.0,116.0,68.0
Jordan Brian Henderson,Liverpool,Pass,0.02295263000000001,116.6,68.2,114.5,57.0
Jan Vertonghen,Tottenham Hotspur,Pass,-0.0010834199999999999,5.6,23.1,11.2,9.8
Heung-Min Son,Tottenham Hotspur,Pass,0.002512320000000001,9.8,11.1,27.8,26.6
Georginio Wijnaldum,Liverpool,Pass,-0.00551751,92.0,61.0,88.1,65.0
Fábio Henrique Tavares,Liverpool,Pass,0.00010719000000000006,87.8,62.3,84.5,22.2
Andrew Robertson,Liverpool,Pass,0.006298700000000001,92.7,22.0,102.8,9.8
Sadio Mané,Liverpool,Pass,0.0,117.9,20.5,117.3,23.6
Trent Alexander-Arnold,Liverpool,Pass,0.03150394000000001,120.0,0.1,116.0,23.8
Jordan Brian Henderson,Liverpool,Pass,-0.03989712000000001,116.8,24.1,90.6,18.2
Andrew Robertson,Liverpool,Pass,0.059778239999999996,91.7,20.7,107.8,35.2
Toby Alderweireld,Tottenham Hotspur,Pass,-0.0004294100000000016,35.6,63.0,27.0,33.8
Jan Vertonghen,Tottenham Hotspur,Pass,0.0,27.0,33.8,25.1,49.7
Toby Alderweireld,Tottenham Hotspur,Pass,-0.0007549299999999991,26.0,49.1,3.5,39.7
Hugo Lloris,Tottenham Hotspur,Pass,0.00036602999999999983,3.3,40.5,37.1,75.0
Kieran Trippier,Tottenham Hotspur,Pass,0.0025826300000000007,47.0,75.8,53.5,64.9
Christian Dannemann Eriksen,Tottenham Hotspur,Pass,-0.002723370000000001,46.1,66.8,28.1,60.7
Toby Alderweireld,Tottenham Hotspur,Pass,0.0013107199999999996,28.5,51.0,32.9,30.2
Jan Vertonghen,Tottenham Hotspur,Pass,-0.00082343,42.1,11.9,37.9,32.3
Toby Alderweireld,Tottenham Hotspur,Pass,6.527999999999916e-05,43.6,41.1,41.5,54.2
Moussa Sissoko,Tottenham Hotspur,Pass,-0.0018645199999999997,41.7,55.4,13.3,37.1
Hugo Lloris,Tottenham Hotspur,Pass,0.01302427,10.6,36.3,84.4,48.1
Virgil van Dijk,Liverpool,Pass,0.005532379999999998,35.7,32.0,62.0,23.4
Andrew Robertson,Liverpool,Pass,0.0049672,54.4,0.1,75.7,3.2
Kieran Trippier,Tottenham Hotspur,Pass,0.0025826300000000007,44.4,76.9,54.1,66.1
Bamidele Alli,Tottenham Hotspur,Pass,0.003049879999999998,50.5,60.7,63.2,45.1
Trent Alexander-Arnold,Liverpool,Pass,0.011495939999999998,49.8,43.4,83.6,21.7
Kieran Trippier,Tottenham Hotspur,Pass,0.00274078,36.5,58.4,55.6,60.5
Christian Dannemann Eriksen,Tottenham Hotspur,Pass,-0.0011536600000000008,56.8,61.5,47.4,54.8
Moussa Sissoko,Tottenham Hotspur,Pass,-0.0018645199999999997,47.4,52.7,13.8,40.1
Hugo Lloris,Tottenham Hotspur,Pass,-0.0008141799999999994,14.6,37.8,24.1,28.9
Jan Vertonghen,Tottenham Hotspur,Pass,0.0013107199999999996,28.3,24.1,35.4,40.9
Moussa Sissoko,Tottenham Hotspur,Pass,0.004268819999999998,40.2,42.8,63.6,33.6
Trent Alexander-Arnold,Liverpool,Pass,0.034330019999999996,49.2,63.6,119.6,66.5
Hugo Lloris,Tottenham Hotspur,Pass,0.0006024800000000007,6.0,36.0,20.9,29.1
Harry Winks,Tottenham Hotspur,Pass,0.00015244999999999842,20.5,28.1,24.7,42.0
Moussa Sissoko,Tottenham Hotspur,Pass,0.000661730000000001,24.5,42.0,15.4,38.2
Harry Winks,Tottenham Hotspur,Pass,0.00015244999999999842,21.3,55.2,26.2,36.1
Moussa Sissoko,Tottenham Hotspur,Pass,-0.0007416699999999998,26.8,30.6,28.3,10.9
Jan Vertonghen,Tottenham Hotspur,Pass,0.0013280500000000008,29.7,4.3,38.1,2.2
Danny Rose,Tottenham Hotspur,Pass,-0.0013280500000000008,35.2,2.5,28.9,6.9
Jan Vertonghen,Tottenham Hotspur,Pass,0.0015645000000000017,28.9,9.6,22.8,26.6
Toby Alderweireld,Tottenham Hotspur,Pass,-0.0005892200000000014,22.8,29.1,27.2,18.8
Jan Vertonghen,Tottenham Hotspur,Pass,0.0014034000000000008,28.1,17.4,19.4,32.9
Toby Alderweireld,Tottenham Hotspur,Pass,0.0004355499999999998,15.4,35.2,49.9,75.2
Kieran Trippier,Tottenham Hotspur,Pass,0.00122067,49.9,75.4,55.4,72.0
Kieran Trippier,Tottenham Hotspur,Pass,0.0013619600000000006,56.0,80.0,54.3,68.9
Moussa Sissoko,Tottenham Hotspur,Pass,-0.0025826300000000007,53.3,68.7,49.1,76.0
Kieran Trippier,Tottenham Hotspur,Pass,-0.0012497299999999992,49.1,76.0,28.3,59.8
Toby Alderweireld,Tottenham Hotspur,Pass,0.0013107199999999996,28.7,50.2,33.1,35.7
Jan Vertonghen,Tottenham Hotspur,Pass,0.0013027000000000004,36.5,30.6,47.2,40.5
Harry Winks,Tottenham Hotspur,Pass,0.0016648199999999991,46.8,42.8,54.3,56.5
Moussa Sissoko,Tottenham Hotspur,Pass,-0.003186659999999999,53.3,56.3,37.5,50.4
Toby Alderweireld,Tottenham Hotspur,Pass,0.0224868,42.6,49.5,93.2,39.7
Joël Andre Job Matip,Liverpool,Pass,-0.0002364500000000009,21.6,56.6,36.1,77.0
Trent Alexander-Arnold,Liverpool,Pass,0.008707930000000001,49.4,78.9,78.4,40.2
Trent Alexander-Arnold,Liverpool,Pass,0.0038807899999999985,77.8,38.1,82.8,42.1
Mohamed Salah,Liverpool,Pass,0.0,82.8,42.3,81.3,39.6
Trent Alexander-Arnold,Liverpool,Pass,0.045578350000000004,81.5,39.2,119.8,27.0
Hugo Lloris,Tottenham Hotspur,Pass,0.0007549299999999991,6.0,36.0,20.9,47.2
Moussa Sissoko,Tottenham Hotspur,Pass,-0.0014166600000000001,19.2,45.5,3.9,40.1
Hugo Lloris,Tottenham Hotspur,Pass,-0.0019098400000000003,3.9,40.1,5.1,64.7
Toby Alderweireld,Tottenham Hotspur,Pass,0.0005309800000000003,3.5,56.3,3.9,43.9
Hugo Lloris,Tottenham Hotspur,Pass,0.0027366300000000003,3.3,42.4,41.5,63.8
Andrew Robertson,Liverpool,Pass,0.02621113,78.6,16.3,109.1,23.4
Toby Alderweireld,Tottenham Hotspur,Pass,-0.0013289100000000009,11.0,56.7,20.7,72.6
